N,source,batch,lr,epochs,inner_steps,val_R,val_qany,val_qc,val_qs
8,policy_noma_fair_best,64,0.0001,40,10,6.852074764251709,0.001,0.001,0.0
16,N16_b64_lr1e-4,64,0.0001,40,10,8.36803475189209,0.001,0.0,0.001
32,N32_b64_lr1e-4,64,0.0001,40,10,10.029678741455077,0.0,0.0,0.0
64,N64_b64_lr1e-4,64,0.0001,40,10,11.4463046875,0.0,0.0,0.0
